Symbol	Description
CN	Condor Resources Inc
CNA.H	Canasia Financial Inc
CNC	Canyon Copper Corp
CNG	Canadian Mining Corp
CNH	Crownia Holdings Ltd
CNO	California Nanotechnologies Corp
CNS	Contagious Gaming Inc
CNX	Callinex Mines Inc
CNZ	Canadian Zeolite Corp
COB.U	Cohbar Inc
COL	Copper North Mining Corp
COLS.P	Colson Capital Corp
CONE	Canada One Mining Corp
COO	Naturebank Asset Management Inc
COR	Camino Minerals Corp
CORE	Canadian Orebodies Inc
COT	Cotinga Pharmaceuticals Inc.
COV	Covalon Technologies Ltd
CPC	Canadian Platinum Corp
CPL	Copper Lake Resources Ltd
CPM	Crystal Peak Minerals Inc
CPO	Cobalt Power Group Inc
CPS	Claim Post Resources Inc
CPV	Copper Creek Gold Corp
CQR	Conquest Resources Ltd
CQV.H	Canadian Imperial Venture Corp
CRB	Cariboo Rose Resources Ltd
CRD.H	Coronado Resources Ltd
CRE	Critical Elements Corp
CRF	Coronet Metals Inc
CRO	Canadian Arrow Mines Ltd
CRU	Cameo Resources Corp
CRX.H	Cerro Mining Corp
CSL	Comstock Metals Ltd
CSO	Corsa Coal Corp
CSPG	Alabama Graphite Corp
CSQ	Canamex Gold Corp.
CSR	Castle Silver Resources Inc
CST	Co2 Solutions Inc
CSV.H	Caracara Silver Inc
CSX	Clean Seed Capital Group Ltd
CT	Centenara Mining Corp
CTD.H	Courtland Capital Inc
CTI	Caiterra International E
CTM	Canterra Minerals Corp
CTO	Circa Enterprises Inc
CTU	Le Chateau Inc Cl B
CTZ	Namsys Inc
CUC	Carube Copper Corp
CUI	Currie Rose Resources Inc
CUO	Copper One Inc
CUU	Copper Fox Metals Inc
CUV	Cuba Ventures Corp
CUX	Carmax Mining Corp
CUZ	Cruz Cobalt Corp
CVA	Cava Resources Inc
CVB	Compass Gold Corporation
CVM	Cvr Medical Corp
CVN.H	Cavan Ventures Inc
CVR	CDN Oil Recovery Remediation Ent Ltd
CVS.P	Canvass Ventures Ltd
CVV	Canalaska Uranium Ltd
CVX	Cematrix Corp
CWC	Cwc Energy Services Corp
CWM	Crown Mining Corp
CWV	Crown Point Energy Inc
CXA.H	Consolidated Hci Holdings Corporation
CXB	Calibre Mining Corp
CXO	Colorado Resources Ltd
CXV	Blvd Centers Corp
CXXI.H	C21 Investments Inc
CYF	Canyon Creek Food Co Ltd
CYL	Ceylon Graphite Corp
CYM	Cymat Technologies Ltd
CYP	Cypress Development Corp
CYX	Calyx Bio-Venture Inc
CZ.H	Cassius Ventures Ltd
CZO	Ceapro Inc
CZQ.H	Continental Precious Minerals Inc
CZX	Canada Zinc Metals Corp
CZZ	Cleghorn Minerals Ltd
DAI.H	Datinvest International Ltd
DAL	Dalmac Energy Inc
DAN	Arianne Phosphate Inc
DAP.U	Xpel Technologies Corp
DAR	Darelle Online Solutions Inc
DAU	Desert Gold Ventures Inc
DBD.H	Darien Business Development Corp
DBV	Doubleview Capital Corp
DCY	Discovery-Corp. Enterprises Inc
DE	Decisive Dividend Corp
DEC	Decade Resources Ltd
DEF	Defiance Silver Corp
DFR	Diamond Fields Resources Inc.
DFS	Global Daily Fantasy Sports Inc
DGO	Durango Resources Inc
DHR	Discovery Harbour Resources Corp
DIA	Margaret Lake Diamonds Inc
DJI	Dajin Resources Corp
DLS	Dealnet Capital Corp
DLV.H	Dv Resources Ltd
DM	Datametrex Ai Ltd
DMA	Diamedica Therapeutics Inc
DMC.H	Dataminers Capital Corp
DMG.H	Dmd Digital Health Connections Group Inc
DMI	Diamcor Mining Inc
DMR	Damara Gold Corp
DNX	Dynex Power Inc
DOS	Dios Exploration Inc
DPH	Duncan Park Holdings Corp
DRC.H	Dragonfly Capital Corp
DRV	Duran Ventures Inc
DSM	Deep South Resources Inc
DSV	Discovery Metals Corp
DSY	Destiny Media Technologies Inc
DUG	Distinct Infrastructure Group Inc
DUKE.P	Duckworth Capital Corp
DV	Dolly Varden Silver Corp
DVA	Delivra Corp
DVC.H	Devin Energy Corp
DVG	Divergent Energy Services Corp
DVI	Dunnedin Ventures Inc
DVT	Divestco Inc
DWS	Diamond Estates Wines and Spirits Inc
DXA	Doxa Energy Ltd
DXD	3D Signatures Inc
DXX	Dxstorm.Com Inc.
DYA	Dynacert Inc
DYG	Dynasty Gold Corp
EAM	East Africa Metals Inc
EAS	East Asia Minerals Corp
EBM	Eastwood Bio Medical Canada Inc
EBN	Epicore Bionetworks Inc
EBY	Emerald Bay Energy Inc
ECC	Ethos Gold Corp
ECM	Ecolomondo Corporation
ECR	Cartier Resources Inc
ECT	Ellipsiz Communications Ltd
ECX.H	Eastcoal Inc
EDG	Endurance Gold Corp
EDW.H	Edgewater Exploration Ltd
EGA	Eagle Graphite Incorporated
EGD	Energold Drilling Corp
EGM	Engold Mines Ltd
EGT	Eguana Technologies Inc
EHT	Enerdynamic Hybrid Tech Corp
EIL	Empire Industries Ltd
EKG	Cardiocomm Solutions Inc
EL	Engagement Labs Inc
ELC	Elysee Development Corp
ELM	Element Lifestyle Retirement Inc
ELN	El Nino Ventures Inc
ELO	Eloro Resources Ltd
ELT	Electra Stone Ltd
ELY	Ely Gold Royalties Inc.
EMC	Emblem Corp
EMC.WT	Emblem Corp Wts
EMC.WT.A	Emblem Corp Wts
EMH	Emerald Health Therapeutics Inc
EMO	Emerita Resources Corp
EMR	Emgold Mining Corp
EMX	Emx Royalty Corp
ENA	Enablence Technologies Inc
ENV.H	Enssolutions Group Inc
ENW	Enwave Corp
ENW.WT	Enwave Corporation Wts
EOG	Eco Atlantic Oil and Gas Ltd
EP	Empire Metals Corp
EPI	Essa Pharma Inc
EPL	Eagle Plains Resources Ltd
EPO	Encanto Potash Corp
EPWR	Epower Metals Inc.
EPX.H	Eshippers Management Ltd
EQ	Eq Inc
EQG	Eqube Gaming Limited
EQX	Equinox Gold Corp.
EQX.WT	Equinox Gold Corp Wts
ERA	Elcora Advanced Materials Corp
ERC	Eros Resources Corp
ERE.UN	European Commercial REIT
ERG	Ergoresearch Ltd
ERL.H	Earl Resources Limited
ERN.H	Earny Resources Ltd
ES	Eight Solutions Inc
ESK	Eskay Mining Corp
ESR	Esrey Resources Ltd.
ESU	Eestor Corp
ESV	Esi Environmental Sensors Inc
ESX	Essex Minerals Inc
ETF	Eastfield Resources Ltd
ETMC	E3 Metals Corp
ETV.H	Evermount Ventures Inc
EU	Encore Energy Corp
EUK	Eureka Resources Inc
EUO	Eurocontrol Technics Group Inc
EV	Erin Ventures Inc
EVM	Evrim Resources Corp
EVR	Everton Resources Inc
EW	East West Petroleum Corp
EWK	Earthworks Industries Inc
EWS	Environmental Waste International Inc
EXG	Exgen Resources Inc
EXS	Explor Resources Inc
EXX	Equitorial Exploration Corp
EYC	Eyecarrot Innovations Corp
F	Fiore Exploration Ltd
FA	Fountain Asset Corp
FAM	Family Memorials Inc
FBF	Fab-Form Industries Ltd
FBR.H	Fibre-Crown Manufacturing  Inc
FBX	First Bauxite Corp
FCA.U	Firm Capital American Realty Part Corp
FCA.WT.U	Firm Cap American Realty Part Wts USD
FCC	First Cobalt Corp
FCD.UN	Firm Capital Property Trust
FCF	Founders Advantage Capital Corp
FCV	Focus Ventures Ltd
FDC	Forum Uranium Corp
FDI	Findev Inc
FE	First Energy Metals Limited
FEO	Oceanic Iron Ore Corp
FEX	Fjordland Exploration Inc
FFP	Consolidated Firstfund Capital Corp.
FG	Falcon Gold Corp
FGC	Frontline Gold Corp
FGD	First Global Data Limited
FGR	Fengro Industries Corp.
FI.H	First Idaho Resources Inc
FIL	Filo Mining Corp
FIRE	The Supreme Cannabis Company Inc.
FISH	Sailfish Royalty Corp
FIX	Firebird Resources Inc
FL	Frontier Lithium Inc
FLGC	Fanlogic Interactive Inc
FLT	Drone Delivery Canada Corp
FLY	Flyht Aerospace Solutions Ltd
FMG	First Mexican Gold Corp
FMM	Full Metal Minerals Ltd
FMR	Fairmont Resources Inc
FMS	Focus Graphite Inc
FNC	Fancamp Exploration Ltd
FNR	49 North Resources Inc
FO	Falcon Oil & Gas Ltd
FOM	Foran Mining Corp
FOR	Fortune Bay Corp
FP	Fp Newspapers Inc
FPC	Falco Resources Ltd
FPC.WT	Falco Resources Ltd Wts
FPX	Fpx Nickel Corp
FRE	Fremont Gold Ltd
FREE	Freedom Energy Inc
FRI	Freeport Resources Inc
FRK	Front Range Resources Ltd
FRN	Feronia Inc
FRN.DB	Feronia Inc 12.00 Pct Dbs
FSC.H	Fitch Street Capital Corp.
FSW	Fireswirl  Technologies Inc
FTEC	Fintech Select Ltd
FTI	Fti Foodtech Internation
FTJ.H	Fort ST James Nickel Corp
FTR	Firesteel Resources Inc
FUND	Katipult Technology Corp
FURA	Fura GEMS Inc.
FUU	Fission 3.0 Corp
FV	Firestone Ventures Inc
FWZ	Fireweed Zinc Ltd
FYL	Finlay Minerals Ltd
GAL	Galantas Gold Corp
GAME	Millennial Esports Corp
GAR	Green Arrow Resources In
GAZ.UN	Fronsac Capital REIT Units
GB	Ginger Beef Corp
GBE	Goldbelt Empires Limited
GBL	Gb Minerals Ltd
GBR	Great Bear Resources Ltd
GCC.H	Golden Cariboo Resources Ltd
GCN	Goldcliff Resource Corp
GCR	Gespeg Copper Resources Inc
GCX	Granite Creek Gold Ltd
GDM	Goldstar Minerals Inc
GDNP	Good Natured Products Inc.
GDX	Goldex Resources Corp
GEL	Tangelo Games Corp
GEM	Pele Mountain Resources Inc.
GEMC	Global Energy Metals Corp
GER	Glen Eagle Resources Inc
GFG	Gfg Resources Inc
GFM.H	Gfm Resources Ltd
GG	Galane Gold Ltd
GGG	Graphene 3D Lab Inc
GGI	Garibaldi Resources Corp
GGL	Ggl Resources Corp
GGM	Granada Gold Mine Inc
GGS	Golden Secret Ventures Ltd
GGX	Ggx Gold Corp
GHR.H	Golden Harp Resources Inc
GI	Gem International Resources Inc
GIGA	Giga Metals Corp
GIII	Gen III Oil Corp
GIS	Genesis Metals Corp
GIT	Gitennes Exploration Inc
GIX	Geologix Explorations Inc
GKX	Gemini Corp
GLB	Goldbank Mining Corp
GLD	Goldon Resources Ltd
GLDN	Golden Ridge Resources Ltd
GLI	Glacier Lake Resources Inc
GLIN.P	Global Investments Capital Corp
GLK	Great Lakes Graphite Inc
GLO	Global Atomic Corp.
GLW	Galway Gold Inc
GMA	Geomega Resources Inc
GMN	Gobimin Inc
GMV	Gmv Minerals Inc
GNC	Gainey Capital Corp
GNF	Greenfields Petroleum Corp
GNG	Golden Goliath Resources Ltd
GNH	Golden Hope Mines Ltd
GNT	Gentor Resources Inc
GOE	Goldeneye Resources Corp
GOG	Golden Tag Resources Ltd
GOK	Ginsms Inc
GOLD	Goldmining Inc
GOLD.WT	Goldmining Inc Wts
GOM	Golden Dawn Minerals Inc
GOP	Gourmet Ocean Products Inc
GOT	Goliath Resources Limited
GP	Golden Peak Minerals Inc
GPG	Grande Portage Resources Ltd
GPH	Graphite One Resources Inc
GPM	Gpm Metals Inc
GPV	Greenpower Motor Company Inc
GPY	Golden Predator Mining Corp
GQ	Great Quest Fertilizer Ltd
GQC	Goldquest Mining Corp
GR	Great Atlantic Resources Corp
GRA	Nanoxplore Inc
GRAT	Gratomic Inc.
GRB	Greenbriar Capital Corp
GRC	Grenville Strategic Royalty Corp
GRC.DB	Grenville Strategic Royalty 8 Pct Debs
GRCC.P	Green Rise Capital Corporation
GRG	Golden Arrow Res Corp
GRI	Galore Resources Inc
GRK	Gray Rock Resources Ltd
GRO	Growmax Resources Corp
GRR	Golden Reign Resources Ltd
GRV	Gold Reach Resources Ltd
GRX.H	Greenshield Explorations Limited
GRZ	Gold Reserve Inc
GSA	Groundstar Resources Ltd
GSD	Devonian Health Group Inc
GSH	Golden Share Resources Corp
GSI	Gatekeeper Systems Inc
GSP	Gensource Potash Corp
GSR	Goldstrike Resources Ltd
GSS	Gossan Resources Limited
GSX.H	Goldstream Minerals Inc
GTA	Gta Resources and Mining Inc
GTB	Greatbanks Resources Ltd
GTC	Getty Copper Inc
GTG	Great Thunder Gold Corp
GTT	GT Gold Corp
GUF	Gulf & Pacific Equities Corp
GUG	Gungnir Resources Inc
GUN	Gunpoint Exploration Ltd
GV	Guerrero Ventures Inc
GVG	Grenville Gold Corp.
GVR	Grosvenor Resources Corp
GVY	Green Valley Mine Incorporated
GWA	Gowest Gold Ltd
GWM	Galway Metals Inc
GXL	Galileo Exploration Ltd
GXR	Georox Resources Inc
GXS	Goldsource Mines Inc
GXU	Goviex Uranium Inc
GYA	Guyana Goldstrike Inc
GZD	Grizzly Discoveries Inc
GZZ	Golden Valley Mines Ltd
HAN	Hannan Metals Ltd
HAR	Harfang Exploration Inc
HAW.P	Haw Capital Corp
HAWK	Hawkeye Gold and Diamond Inc
HBE	Hornby Bay Mineral Exploration Ltd
HBK	Highbank Resources Ltd
HEC	Handa Copper Corp
HEI	Huntington Exploration Inc
HEM	Hemostemix Inc
HEMP	Hempco Food and Fiber Inc
HEO	H2O Innovation Inc
HFC	Hampton Financial Corp
HFC.PR.A	Hampton Financial Corporation Pref A
HI	Highland Copper Company Inc
HIP	Newstrike Resources Ltd
HIT	Hit Technologies Inc
HIVE	Hive Blockchain Technologies Inc.
HJI	Helijet International Inc
HME	Hemisphere Energy Corp
